Material_Name,R,S,T,U,V,W
Paper,4105.02,1284.75,367.82,201.77,292.72,136.61
Paper,4105.02,1285.8,367.82,201.77,293.57,136.61
Paper,4100.24,1286.85,367.82,201.77,292.72,136.61
Paper,4105.02,1286.85,367.82,201.77,293.57,136.61
Paper,4101.43,1286.85,367.82,201.77,293.57,136.61
Paper,4103.82,1285.8,367.82,201.77,293.57,136.61
Paper,4100.24,1286.85,367.82,201.77,293.57,136.61
Paper,4101.43,1285.8,367.82,201.77,293.57,136.61
Paper,4101.43,1286.85,367.82,201.77,293.57,136.61
Paper,4103.82,1286.85,367.82,201.77,293.57,136.61
Paper,4103.82,1285.8,367.82,201.77,292.72,136.61
Paper,4103.82,1286.85,367.82,201.77,293.57,136.61
Plastic,15828.52,3347.5,745.52,465.29,1132.35,495.77
Plastic,15847.64,3354.86,743.87,464.42,1131.5,495.77
Plastic,15845.25,3346.45,743.05,464.42,1131.5,495.77
Plastic,15847.64,3352.76,742.22,464.42,1132.35,495.77
Plastic,15821.35,3327.52,744.69,465.29,1131.5,495.77
Plastic,15834.49,3353.81,744.69,465.29,1131.5,495.77
Plastic,15833.3,3345.4,742.22,464.42,1132.35,495.77
Plastic,15847.64,3346.45,741.4,463.55,1132.35,495.77
Plastic,15836.88,3342.24,743.87,464.42,1131.5,495.77
Plastic,15824.93,3349.6,743.05,464.42,1131.5,495.77
Plastic,15829.71,3347.5,743.05,464.42,1131.5,495.77
Plastic,15812.98,3349.6,747.16,466.16,1131.5,496.87
Metal,16514.48,3731.24,803.94,469.64,1154.61,513.4
Metal,16514.48,3731.24,803.94,470.51,1154.61,513.4
Metal,16502.53,3732.29,804.76,470.51,1156.32,513.4
Metal,16518.06,3732.29,804.76,470.51,1155.46,513.4
Metal,16516.87,3732.29,803.94,470.51,1154.61,513.4
Metal,16516.87,3732.29,803.94,470.51,1155.46,513.4
Metal,16518.06,3732.29,804.76,470.51,1154.61,513.4
Metal,16502.53,3733.35,803.94,470.51,1154.61,513.4
Metal,16516.87,3732.29,804.76,470.51,1154.61,513.4
Metal,16498.94,3732.29,803.94,470.51,1156.32,513.4
Metal,16504.92,3733.35,803.94,470.51,1154.61,513.4
Metal,16503.72,3732.29,803.94,470.51,1156.32,513.4
Metal,16515.68,3731.24,804.76,470.51,1154.61,513.4
Plastic,1912.09,415.28,149.76,132.2,188.3,76.02
Plastic,1912.09,415.28,149.76,132.2,188.3,76.02
Plastic,1912.09,415.28,149.76,132.2,188.3,76.02
Plastic,1912.09,415.28,149.76,132.2,188.3,76.02
Plastic,1913.28,415.28,149.76,132.2,188.3,76.02
Plastic,1912.09,415.28,149.76,132.2,188.3,76.02
Plastic,1913.28,415.28,149.76,132.2,188.3,76.02
Plastic,1913.28,415.28,149.76,132.2,188.3,76.02
Plastic,1913.28,415.28,149.76,132.2,188.3,76.02
Plastic,1913.28,415.28,149.76,132.2,188.3,76.02
Plastic,1914.48,415.28,149.76,132.2,188.3,76.02
Plastic,1914.48,415.28,149.76,132.2,188.3,76.02
Plastic,1914.48,415.28,149.76,132.2,188.3,76.02
Metal,27367.98,5235.73,1049.98,675.76,1976.27,904.5
Metal,27339.3,5233.62,1049.98,675.76,1975.41,904.5
Metal,27340.49,5234.67,1049.98,675.76,1973.7,904.5
Metal,27358.42,5234.67,1049.98,675.76,1973.7,904.5
